bce_loss,epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss_batch
,0,49,,0.21323828399181366,
,0,99,,0.20982851088047028,
,0,149,,0.5257620215415955,
,0,199,,0.2627868056297302,
,0,249,,0.20641422271728516,
,0,299,,0.19490818679332733,
,0,349,,0.27293211221694946,
,0,399,,0.19217631220817566,
,0,449,,0.32735711336135864,
,0,499,,0.242471382021904,
,0,549,,0.1946992725133896,
,0,599,,0.4387288987636566,
,0,649,,0.12174005806446075,
0.2327074408531189,0,654,,,0.29521891474723816
,0,654,0.2753260135650635,,
,1,699,,0.26548096537590027,
,1,749,,0.26828232407569885,
,1,799,,0.15130183100700378,
,1,849,,0.12836724519729614,
,1,899,,0.2351129949092865,
,1,949,,0.26395565271377563,
,1,999,,0.21518664062023163,
,1,1049,,0.1565098911523819,
,1,1099,,0.23502081632614136,
,1,1149,,0.37775111198425293,
,1,1199,,0.2309209704399109,
,1,1249,,0.26117226481437683,
,1,1299,,0.15408816933631897,
0.21327456831932068,1,1309,,,0.27282655239105225
,1,1309,0.23818717896938324,,
,2,1349,,0.20544834434986115,
,2,1399,,0.5469120144844055,
,2,1449,,0.13116173446178436,
,2,1499,,0.1466207504272461,
,2,1549,,0.18177127838134766,
,2,1599,,0.14257989823818207,
,2,1649,,0.11939915269613266,
,2,1699,,0.21448887884616852,
,2,1749,,0.2644316554069519,
,2,1799,,0.2898101806640625,
,2,1849,,0.38081094622612,
,2,1899,,0.2379038780927658,
,2,1949,,0.19852854311466217,
0.2043433040380478,2,1964,,,0.26247867941856384
,2,1964,0.22423702478408813,,
,3,1999,,0.15119735896587372,
,3,2049,,0.23972555994987488,
,3,2099,,0.12213043868541718,
,3,2149,,0.2971307039260864,
,3,2199,,0.10385912656784058,
,3,2249,,0.31763190031051636,
,3,2299,,0.12930050492286682,
,3,2349,,0.1267963945865631,
,3,2399,,0.2618512511253357,
,3,2449,,0.14784522354602814,
,3,2499,,0.19517607986927032,
,3,2549,,0.21319910883903503,
,3,2599,,0.16143248975276947,
0.19931606948375702,3,2619,,,0.2569529712200165
,3,2619,0.2144237756729126,,
,4,2649,,0.16364999115467072,
,4,2699,,0.1205824762582779,
,4,2749,,0.21966183185577393,
,4,2799,,0.23979146778583527,
,4,2849,,0.14123448729515076,
,4,2899,,0.27254098653793335,
,4,2949,,0.13658925890922546,
,4,2999,,0.14316274225711823,
,4,3049,,0.3175045847892761,
,4,3099,,0.2838696837425232,
,4,3149,,0.14748814702033997,
,4,3199,,0.17080169916152954,
,4,3249,,0.15992413461208344,
0.198050394654274,4,3274,,,0.2557002604007721
,4,3274,0.206316277384758,,
,5,3299,,0.14360184967517853,
,5,3349,,0.12565365433692932,
,5,3399,,0.11428267508745193,
,5,3449,,0.10087542235851288,
,5,3499,,0.10468517243862152,
,5,3549,,0.11671280860900879,
,5,3599,,0.24453328549861908,
,5,3649,,0.3320648670196533,
,5,3699,,0.29618725180625916,
,5,3749,,0.14951105415821075,
,5,3799,,0.17268532514572144,
,5,3849,,0.18682074546813965,
,5,3899,,0.18572653830051422,
0.1973724216222763,5,3929,,,0.2550109922885895
,5,3929,0.20036661624908447,,
,6,3949,,0.4595441222190857,
,6,3999,,0.2199171483516693,
,6,4049,,0.2569439709186554,
,6,4099,,0.24547676742076874,
,6,4149,,0.2507058382034302,
,6,4199,,0.14101983606815338,
,6,4249,,0.1876211315393448,
,6,4299,,0.15389873087406158,
,6,4349,,0.1760004460811615,
,6,4399,,0.3061976432800293,
,6,4449,,0.15533919632434845,
,6,4499,,0.16089580953121185,
,6,4549,,0.22947615385055542,
0.19563494622707367,6,4584,,,0.2538694739341736
,6,4584,0.19828617572784424,,
,7,4599,,0.2297103852033615,
,7,4649,,0.1383347362279892,
,7,4699,,0.14707836508750916,
,7,4749,,0.1313055157661438,
,7,4799,,0.10696832090616226,
,7,4849,,0.19349537789821625,
,7,4899,,0.12490994483232498,
,7,4949,,0.2067122906446457,
,7,4999,,0.1177956610918045,
,7,5049,,0.12395083904266357,
,7,5099,,0.20817771553993225,
,7,5149,,0.16515162587165833,
,7,5199,,0.23839879035949707,
0.19463403522968292,7,5239,,,0.252879798412323
,7,5239,0.19325731694698334,,
,8,5249,,0.23260192573070526,
,8,5299,,0.18355101346969604,
,8,5349,,0.11202505975961685,
,8,5399,,0.37277886271476746,
,8,5449,,0.1151648610830307,
,8,5499,,0.14770002663135529,
,8,5549,,0.2617954909801483,
,8,5599,,0.15138113498687744,
,8,5649,,0.19810912013053894,
,8,5699,,0.20355798304080963,
,8,5749,,0.30494555830955505,
,8,5799,,0.25465771555900574,
,8,5849,,0.24565927684307098,
0.1916455626487732,8,5894,,,0.25017642974853516
,8,5894,0.190503790974617,,
,9,5899,,0.17523407936096191,
,9,5949,,0.17013299465179443,
,9,5999,,0.1872567981481552,
,9,6049,,0.2223750501871109,
,9,6099,,0.17876563966274261,
,9,6149,,0.14335942268371582,
,9,6199,,0.23763400316238403,
,9,6249,,0.11378038674592972,
,9,6299,,0.17624236643314362,
,9,6349,,0.17847129702568054,
,9,6399,,0.13444353640079498,
,9,6449,,0.14603888988494873,
,9,6499,,0.24794594943523407,
,9,6549,,0.11758238077163696,
0.19570814073085785,9,6549,,,0.2536924481391907
,9,6549,0.1869732290506363,,
,10,6599,,0.1713900864124298,
,10,6649,,0.1153256893157959,
,10,6699,,0.1945086270570755,
,10,6749,,0.09673915803432465,
,10,6799,,0.13878212869167328,
,10,6849,,0.15221266448497772,
,10,6899,,0.20130261778831482,
,10,6949,,0.12777243554592133,
,10,6999,,0.2221812903881073,
,10,7049,,0.16513429582118988,
,10,7099,,0.13637475669384003,
,10,7149,,0.3546833395957947,
,10,7199,,0.1017991453409195,
0.19989323616027832,10,7204,,,0.25808870792388916
,10,7204,0.1840776652097702,,
,11,7249,,0.17427977919578552,
,11,7299,,0.1886882334947586,
,11,7349,,0.168696790933609,
,11,7399,,0.0980922132730484,
,11,7449,,0.15900512039661407,
,11,7499,,0.18619675934314728,
,11,7549,,0.1716178059577942,
,11,7599,,0.14559142291545868,
,11,7649,,0.18657590448856354,
,11,7699,,0.31660258769989014,
,11,7749,,0.1645248532295227,
,11,7799,,0.25969788432121277,
,11,7849,,0.12159017473459244,
0.18818071484565735,11,7859,,,0.24464762210845947
,11,7859,0.1759181171655655,,
,12,7899,,0.1323559284210205,
,12,7949,,0.3238241970539093,
