epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,20,,,0.3681804835796356
0,20,0.48232129216194153,,
1,41,,,0.3102993667125702
1,41,0.34546664357185364,,
2,49,,0.2881937325000763,
2,62,,,0.27724796533584595
2,62,0.301369309425354,,
3,83,,,0.2511002719402313
3,83,0.2706425189971924,,
4,99,,0.2339341640472412,
4,104,,,0.23072203993797302
4,104,0.2465783953666687,,
5,125,,,0.2140815705060959
5,125,0.22619828581809998,,
6,146,,,0.19848917424678802
6,146,0.20818181335926056,,
7,149,,0.18918651342391968,
7,167,,,0.18609240651130676
7,167,0.1929681897163391,,
8,188,,,0.1751732975244522
8,188,0.17984917759895325,,
9,199,,0.16521234810352325,
9,209,,,0.16585224866867065
9,209,0.16845357418060303,,
10,230,,,0.1578819900751114
10,230,0.15851165354251862,,
11,249,,0.13846524059772491,
11,251,,,0.15107209980487823
11,251,0.15096405148506165,,
12,272,,,0.1450013518333435
12,272,0.14299681782722473,,
13,293,,,0.13958831131458282
13,293,0.13702905178070068,,
14,299,,0.13241353631019592,
14,314,,,0.13516202569007874
14,314,0.13100382685661316,,
15,335,,,0.1311059594154358
15,335,0.12611296772956848,,
16,349,,0.1449248045682907,
16,356,,,0.12771075963974
16,356,0.12184546142816544,,
17,377,,,0.1245543509721756
17,377,0.11781076341867447,,
18,398,,,0.12214865535497665
18,398,0.1136346086859703,,
19,399,,0.10337437689304352,
19,419,,,0.11945873498916626
19,419,0.11135725677013397,,
20,440,,,0.1172259971499443
20,440,0.10809820145368576,,
21,449,,0.10294555872678757,
21,461,,,0.11540821194648743
21,461,0.10534529387950897,,
22,482,,,0.11344629526138306
22,482,0.10329008102416992,,
23,499,,0.1124631017446518,
23,503,,,0.11182721704244614
23,503,0.10072620958089828,,
24,524,,,0.11044885218143463
24,524,0.09886080771684647,,
25,545,,,0.10890773683786392
25,545,0.096751369535923,,
26,549,,0.08916904032230377,
26,566,,,0.1078106239438057
26,566,0.09535472840070724,,
27,587,,,0.1063990592956543
27,587,0.09332414716482162,,
28,599,,0.07905745506286621,
28,608,,,0.10521671921014786
28,608,0.09132114797830582,,
29,629,,,0.10428624600172043
29,629,0.08996293693780899,,
30,649,,0.08872934430837631,
30,650,,,0.10313299298286438
30,650,0.08850356191396713,,
31,671,,,0.10247410833835602
31,671,0.08741625398397446,,
32,692,,,0.10126326978206635
32,692,0.08561471849679947,,
33,699,,0.0822826623916626,
33,713,,,0.10056722909212112
33,713,0.08458304405212402,,
34,734,,,0.09980817884206772
34,734,0.08374939858913422,,
35,749,,0.08102159947156906,
35,755,,,0.09904609620571136
35,755,0.08254402130842209,,
36,776,,,0.09861649572849274
36,776,0.08151593059301376,,
37,797,,,0.09787964820861816
37,797,0.0799584612250328,,
38,799,,0.06780453771352768,
38,818,,,0.09734495729207993
38,818,0.07912296056747437,,
39,839,,,0.09665894508361816
39,839,0.07840649038553238,,
40,849,,0.08249889314174652,
40,860,,,0.09635795652866364
40,860,0.07715640962123871,,
41,881,,,0.0958901047706604
41,881,0.07650476694107056,,
42,899,,0.08419030159711838,
42,902,,,0.09531000256538391
42,902,0.07518411427736282,,
43,923,,,0.09539844840765
43,923,0.07481534779071808,,
44,944,,,0.09480547159910202
44,944,0.0741153284907341,,
45,949,,0.07016221433877945,
45,965,,,0.09462971240282059
45,965,0.07255247235298157,,
46,986,,,0.09414799511432648
46,986,0.07245169579982758,,
47,999,,0.0971020758152008,
47,1007,,,0.09411998838186264
47,1007,0.07172800600528717,,
48,1028,,,0.0936979129910469
48,1028,0.07030428200960159,,
49,1049,,0.06667987257242203,
49,1049,,,0.09382438659667969
49,1049,0.07008171826601028,,
50,1070,,,0.09321369230747223
50,1070,0.06959167867898941,,
51,1091,,,0.09270729124546051
51,1091,0.06943662464618683,,
52,1099,,0.06078730896115303,
52,1112,,,0.09267580509185791
52,1112,0.06769745796918869,,
53,1133,,,0.09264025837182999
53,1133,0.06760726124048233,,
54,1149,,0.07102356851100922,
54,1154,,,0.09298952668905258
54,1154,0.06721112877130508,,
55,1175,,,0.09197352081537247
55,1175,0.06642895936965942,,
56,1196,,,0.09165333211421967
56,1196,0.06622043997049332,,
57,1199,,0.0638616755604744,
57,1217,,,0.09183602035045624
57,1217,0.06489726155996323,,
58,1238,,,0.09144815802574158
58,1238,0.0646907314658165,,
59,1249,,0.07106619328260422,
59,1259,,,0.09127677232027054
59,1259,0.06389640271663666,,
60,1280,,,0.09074042737483978
60,1280,0.06316787749528885,,
61,1299,,0.05316586047410965,
61,1301,,,0.09117922931909561
61,1301,0.06329718977212906,,
62,1322,,,0.09060364216566086
62,1322,0.06281435489654541,,
63,1343,,,0.09093670547008514
63,1343,0.06234521046280861,,
