epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,19,,,0.39940449595451355
0,19,0.5084432363510132,,
1,39,,,0.33593571186065674
1,39,0.37199538946151733,,
2,49,,0.32502737641334534,
2,59,,,0.3013836145401001
2,59,0.32534199953079224,,
3,79,,,0.2718786299228668
3,79,0.2928197383880615,,
4,99,,0.25973913073539734,
4,99,,,0.24533121287822723
4,99,0.26353123784065247,,
5,119,,,0.22530607879161835
5,119,0.24108771979808807,,
6,139,,,0.20740872621536255
6,139,0.22208993136882782,,
7,149,,0.20724739134311676,
7,159,,,0.19237467646598816
7,159,0.20497599244117737,,
8,179,,,0.17976729571819305
8,179,0.19031170010566711,,
9,199,,0.17395181953907013,
9,199,,,0.16910451650619507
9,199,0.17823593318462372,,
10,219,,,0.15978534519672394
10,219,0.16838598251342773,,
11,239,,,0.1516886055469513
11,239,0.15841449797153473,,
12,249,,0.1589500606060028,
12,259,,,0.14473597705364227
12,259,0.15019556879997253,,
13,279,,,0.1384337693452835
13,279,0.14369790256023407,,
14,299,,0.12582917511463165,
14,299,,,0.13298676908016205
14,299,0.13720610737800598,,
15,319,,,0.127968892455101
15,319,0.13112154603004456,,
16,339,,,0.12339452654123306
16,339,0.12590089440345764,,
17,349,,0.13143865764141083,
17,359,,,0.11934930086135864
17,359,0.12155544757843018,,
18,379,,,0.11568067967891693
18,379,0.11760997772216797,,
19,399,,0.12166205793619156,
19,399,,,0.11192036420106888
19,399,0.11360744386911392,,
20,419,,,0.10903770476579666
20,419,0.1093553900718689,,
21,439,,,0.10593728721141815
21,439,0.10650330781936646,,
22,449,,0.09662532806396484,
22,459,,,0.10333651304244995
22,459,0.10284298658370972,,
23,479,,,0.10051693767309189
23,479,0.10023163259029388,,
24,499,,0.10033360123634338,
24,499,,,0.09853050112724304
24,499,0.09788025915622711,,
25,519,,,0.09612132608890533
25,519,0.09544191509485245,,
26,539,,,0.09456919878721237
26,539,0.093316949903965,,
27,549,,0.10724637657403946,
27,559,,,0.09235994517803192
27,559,0.09099511802196503,,
28,579,,,0.09064342081546783
28,579,0.08878056704998016,,
29,599,,0.07853236794471741,
29,599,,,0.08916641771793365
29,599,0.08729738742113113,,
30,619,,,0.08748909085988998
30,619,0.08506667613983154,,
31,639,,,0.08631973713636398
31,639,0.08390192687511444,,
32,649,,0.08474817126989365,
32,659,,,0.08478566259145737
32,659,0.08258859813213348,,
33,679,,,0.08366258442401886
33,679,0.0809849351644516,,
34,699,,0.07511881738901138,
34,699,,,0.08221933245658875
34,699,0.07897184789180756,,
35,719,,,0.08084340393543243
35,719,0.0781402513384819,,
36,739,,,0.07980219274759293
36,739,0.07737009227275848,,
37,749,,0.07862504571676254,
37,759,,,0.07882209122180939
37,759,0.07599589228630066,,
38,779,,,0.07794970273971558
38,779,0.0744226798415184,,
39,799,,0.06610462814569473,
39,799,,,0.07684443145990372
39,799,0.07319988310337067,,
40,819,,,0.07587068527936935
40,819,0.07250159978866577,,
41,839,,,0.07495544850826263
41,839,0.07154784351587296,,
42,849,,0.06706415116786957,
42,859,,,0.07430113106966019
42,859,0.07077787816524506,,
43,879,,,0.07369247823953629
43,879,0.06984363496303558,,
44,899,,0.07224402576684952,
44,899,,,0.07379627227783203
44,899,0.06842070817947388,,
45,919,,,0.07213004678487778
45,919,0.06828953325748444,,
46,939,,,0.0713721439242363
46,939,0.06714466214179993,,
47,949,,0.0697052851319313,
47,959,,,0.07053828239440918
47,959,0.06643640995025635,,
48,979,,,0.07120054215192795
48,979,0.0660669133067131,,
49,999,,0.05896778404712677,
49,999,,,0.06900651752948761
49,999,0.06529939919710159,,
50,1019,,,0.06884922832250595
50,1019,0.06387260556221008,,
51,1039,,,0.06824932992458344
51,1039,0.06278228759765625,,
52,1049,,0.056270990520715714,
52,1059,,,0.06744478642940521
52,1059,0.0623759999871254,,
53,1079,,,0.06796108931303024
53,1079,0.06143459677696228,,
54,1099,,0.05666661262512207,
54,1099,,,0.06665072590112686
54,1099,0.06186524033546448,,
55,1119,,,0.06640463322401047
55,1119,0.06064857915043831,,
56,1139,,,0.0661209225654602
56,1139,0.06041816622018814,,
57,1149,,0.06476162374019623,
57,1159,,,0.06520900130271912
57,1159,0.05944147706031799,,
58,1179,,,0.06534088402986526
58,1179,0.05901969224214554,,
59,1199,,0.05327024310827255,
59,1199,,,0.06529968231916428
59,1199,0.05845026299357414,,
60,1219,,,0.06399963051080704
60,1219,0.05796057730913162,,
61,1239,,,0.0643041580915451
61,1239,0.056993938982486725,,
62,1249,,0.04711206629872322,
62,1259,,,0.0630134642124176
62,1259,0.05710840970277786,,
63,1279,,,0.06366650015115738
63,1279,0.056792326271533966,,
64,1299,,0.05461427941918373,
64,1299,,,0.06256909668445587
64,1299,0.05555069446563721,,
65,1319,,,0.06259086728096008
65,1319,0.055475424975156784,,
66,1339,,,0.06279534846544266
66,1339,0.05454651266336441,,
67,1349,,0.04078378528356552,
67,1359,,,0.06160971522331238
67,1359,0.0552358403801918,,
68,1379,,,0.06118752062320709
68,1379,0.053906477987766266,,
69,1399,,0.060063667595386505,
69,1399,,,0.06120239570736885
69,1399,0.053690046072006226,,
70,1419,,,0.06088200584053993
70,1419,0.052818525582551956,,
71,1439,,,0.06040079519152641
71,1439,0.0528232678771019,,
72,1449,,0.05121143162250519,
72,1459,,,0.0599835142493248
72,1459,0.05249420553445816,,
73,1479,,,0.0599394328892231
73,1479,0.05237126350402832,,
74,1499,,0.04865075275301933,
74,1499,,,0.05961338430643082
74,1499,0.051472604274749756,,
75,1519,,,0.059263989329338074
75,1519,0.05126401036977768,,
76,1539,,,0.059060897678136826
76,1539,0.05098976567387581,,
77,1549,,0.03669758513569832,
77,1559,,,0.05841773748397827
77,1559,0.05051612854003906,,
78,1579,,,0.05823134630918503
78,1579,0.050078101456165314,,
79,1599,,0.05193217098712921,
79,1599,,,0.058335959911346436
79,1599,0.04979013651609421,,
80,1619,,,0.057633012533187866
80,1619,0.049260593950748444,,
81,1639,,,0.0575055368244648
81,1639,0.04930723458528519,,
82,1649,,0.04768412560224533,
82,1659,,,0.05748215690255165
82,1659,0.04796889051795006,,
83,1679,,,0.05754546821117401
83,1679,0.048827607184648514,,
84,1699,,0.0667705088853836,
84,1699,,,0.057168301194906235
84,1699,0.04834222048521042,,
85,1719,,,0.05728299915790558
85,1719,0.04815112426877022,,
86,1739,,,0.05644899234175682
86,1739,0.04746123403310776,,
87,1749,,0.04649529978632927,
87,1759,,,0.05642323940992355
87,1759,0.04716670885682106,,
88,1779,,,0.056797679513692856
88,1779,0.04675980657339096,,
89,1799,,0.04614477977156639,
89,1799,,,0.05582758039236069
89,1799,0.046246908605098724,,
90,1819,,,0.05646897107362747
90,1819,0.04565640911459923,,
91,1839,,,0.05496060848236084
91,1839,0.046191222965717316,,
92,1849,,0.04666759446263313,
92,1859,,,0.055355750024318695
92,1859,0.045721635222435,,
93,1879,,,0.05505944788455963
93,1879,0.04587511345744133,,
94,1899,,0.04194800928235054,
94,1899,,,0.05499093979597092
94,1899,0.044926054775714874,,
95,1919,,,0.05570938438177109
95,1919,0.04466835781931877,,
96,1939,,,0.05506100878119469
96,1939,0.0448654443025589,,
