bce_loss,epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss_batch
,0,49,,0.6316415667533875,
,0,99,,0.1567545384168625,
,0,149,,0.265255868434906,
,0,199,,0.22578123211860657,
,0,249,,0.2040388584136963,
,0,299,,0.23325090110301971,
,0,349,,0.25035911798477173,
,0,399,,0.40274903178215027,
,0,449,,0.2619136571884155,
,0,499,,0.27689263224601746,
,0,549,,0.1982494592666626,
,0,599,,0.43238312005996704,
0.22814171016216278,0,630,,,0.3359813988208771
,0,630,0.3305833339691162,,
,1,649,,0.09888124465942383,
,1,699,,0.19926483929157257,
,1,749,,0.29209285974502563,
,1,799,,0.23467883467674255,
,1,849,,0.8311986923217773,
,1,899,,0.19273194670677185,
,1,949,,0.9773050546646118,
,1,999,,0.3292812705039978,
,1,1049,,0.34349310398101807,
,1,1099,,0.3126950263977051,
,1,1149,,0.3933594822883606,
,1,1199,,0.2403053641319275,
,1,1249,,0.23734666407108307,
0.21537549793720245,1,1261,,,0.32058048248291016
,1,1261,0.2855120599269867,,
,2,1299,,0.16961434483528137,
,2,1349,,0.11426511406898499,
,2,1399,,0.19964224100112915,
,2,1449,,0.23801977932453156,
,2,1499,,0.20631112158298492,
,2,1549,,0.3177764415740967,
,2,1599,,0.48824217915534973,
,2,1649,,0.3068046569824219,
,2,1699,,0.16205060482025146,
,2,1749,,0.3105519413948059,
,2,1799,,0.2430388480424881,
,2,1849,,0.2454160898923874,
0.20940621197223663,2,1892,,,0.3137027621269226
,2,1892,0.2686249315738678,,
,3,1899,,0.22529757022857666,
,3,1949,,0.11454950273036957,
,3,1999,,0.14742860198020935,
,3,2049,,0.19281525909900665,
,3,2099,,0.39543265104293823,
,3,2149,,0.28541240096092224,
,3,2199,,0.20171314477920532,
,3,2249,,0.31506529450416565,
,3,2299,,0.1316395401954651,
,3,2349,,0.3559165596961975,
,3,2399,,0.3638162612915039,
,3,2449,,0.1503596305847168,
,3,2499,,0.39577555656433105,
0.20710153877735138,3,2523,,,0.31040245294570923
,3,2523,0.25723955035209656,,
,4,2549,,0.1268489509820938,
,4,2599,,0.26290562748908997,
,4,2649,,0.1656179130077362,
,4,2699,,0.1661219298839569,
,4,2749,,0.260762482881546,
,4,2799,,0.29203903675079346,
,4,2849,,0.28985515236854553,
,4,2899,,0.20371666550636292,
,4,2949,,0.5962300896644592,
,4,2999,,0.1876569539308548,
,4,3049,,0.3720281422138214,
,4,3099,,0.277310311794281,
,4,3149,,0.10282355546951294,
0.2045019119977951,4,3154,,,0.30699288845062256
,4,3154,0.24973845481872559,,
