bce_loss,epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss_batch
,0,49,,0.3117019236087799,
,0,99,,0.1814340204000473,
,0,149,,0.3672710955142975,
,0,199,,1.03096342086792,
,0,249,,0.7091424465179443,
,0,299,,0.34572622179985046,
,0,349,,0.45721641182899475,
,0,399,,0.18332505226135254,
,0,449,,0.22992728650569916,
,0,499,,0.2380334734916687,
,0,549,,0.661704421043396,
,0,599,,0.2476620227098465,
0.2006809413433075,0,621,,,0.33418983221054077
,0,621,0.3328368365764618,,
,1,649,,0.27813658118247986,
,1,699,,0.18759916722774506,
,1,749,,0.13713127374649048,
,1,799,,0.42345738410949707,
,1,849,,0.19664689898490906,
,1,899,,0.22428664565086365,
,1,949,,0.23944422602653503,
,1,999,,0.16728688776493073,
,1,1049,,0.3408580720424652,
,1,1099,,0.40541377663612366,
,1,1149,,0.21617761254310608,
,1,1199,,0.31658732891082764,
0.19207727909088135,1,1243,,,0.3256963789463043
,1,1243,0.28337961435317993,,
,2,1249,,0.19458694756031036,
,2,1299,,0.14425042271614075,
,2,1349,,0.2131279706954956,
,2,1399,,0.15518350899219513,
,2,1449,,0.1939130276441574,
,2,1499,,0.19986318051815033,
,2,1549,,0.23045729100704193,
,2,1599,,0.2045663744211197,
,2,1649,,0.3418777883052826,
,2,1699,,0.2676689028739929,
,2,1749,,0.3414961099624634,
,2,1799,,0.30223900079727173,
,2,1849,,0.3036864399909973,
0.1867850422859192,2,1865,,,0.32229530811309814
,2,1865,0.26407378911972046,,
,3,1899,,0.239779993891716,
,3,1949,,0.5289307832717896,
,3,1999,,0.17532876133918762,
,3,2049,,0.10920115560293198,
,3,2099,,0.14391040802001953,
,3,2149,,0.14064794778823853,
,3,2199,,0.14661116898059845,
,3,2249,,0.20657631754875183,
,3,2299,,0.33860456943511963,
,3,2349,,0.177555650472641,
,3,2399,,0.291267454624176,
,3,2449,,0.34044787287712097,
0.18452666699886322,3,2487,,,0.32137951254844666
,3,2487,0.2526211738586426,,
,4,2499,,0.11391571164131165,
,4,2549,,0.18642747402191162,
,4,2599,,0.08671706914901733,
,4,2649,,0.2862328290939331,
,4,2699,,0.3697059452533722,
,4,2749,,0.22318795323371887,
,4,2799,,0.1436302661895752,
,4,2849,,0.29883235692977905,
,4,2899,,0.23351718485355377,
,4,2949,,0.25795212388038635,
,4,2999,,0.31179338693618774,
,4,3049,,0.1883619874715805,
,4,3099,,0.2580220699310303,
0.18340784311294556,4,3109,,,0.32163622975349426
,4,3109,0.24390096962451935,,
,5,3149,,0.14673838019371033,
,5,3199,,0.18617232143878937,
,5,3249,,0.12750275433063507,
,5,3299,,0.13679999113082886,
,5,3349,,0.18034622073173523,
