bce_loss,epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss_batch
,0,49,,0.4185582995414734,
,0,99,,0.20865404605865479,
,0,149,,0.1423383504152298,
,0,199,,0.24629874527454376,
,0,249,,0.3341014087200165,
,0,299,,0.21792912483215332,
,0,349,,1.1196531057357788,
,0,399,,0.2115096151828766,
,0,449,,0.38300156593322754,
,0,499,,0.18829524517059326,
,0,549,,1.034142017364502,
,0,599,,0.7151147127151489,
,0,649,,0.27428165078163147,
,0,699,,0.3215472102165222,
0.213297039270401,0,718,,,0.34876587986946106
,0,718,0.3342095911502838,,
,1,749,,0.3932924270629883,
,1,799,,0.1904153823852539,
,1,849,,0.1407848596572876,
,1,899,,0.5242518186569214,
,1,949,,0.18867497146129608,
,1,999,,0.1432730257511139,
,1,1049,,0.16711799800395966,
,1,1099,,0.2602006196975708,
,1,1149,,0.36199721693992615,
,1,1199,,0.30190181732177734,
,1,1249,,0.26984918117523193,
,1,1299,,0.6512038707733154,
,1,1349,,0.20729388296604156,
,1,1399,,0.21741679310798645,
0.19334010779857635,1,1437,,,0.32641932368278503
,1,1437,0.29963651299476624,,
,2,1449,,0.1518740952014923,
,2,1499,,0.2677173912525177,
,2,1549,,0.5791838765144348,
,2,1599,,0.2211443930864334,
,2,1649,,0.1023949459195137,
,2,1699,,0.10121376067399979,
,2,1749,,0.11671122908592224,
,2,1799,,0.11892317235469818,
,2,1849,,0.23865562677383423,
,2,1899,,0.8631157875061035,
,2,1949,,0.40957751870155334,
,2,1999,,0.19246146082878113,
,2,2049,,0.2051836997270584,
,2,2099,,0.255486398935318,
,2,2149,,0.23564405739307404,
0.18755823373794556,2,2156,,,0.32068243622779846
,2,2156,0.2863009572029114,,
,3,2199,,0.3794008493423462,
,3,2249,,0.18697157502174377,
,3,2299,,0.13725128769874573,
,3,2349,,0.15657570958137512,
,3,2399,,0.2092387080192566,
,3,2449,,0.177179753780365,
,3,2499,,0.18440936505794525,
