Metric,Value
Subset Accuracy,0.3220733838089691
Jaccard,0.42050087361677346
MicroF1,0.5162355531095212
MacroF1,0.37031706294563893
MCC_Cytoplasm,0.2517935540450369
MCC_Nucleus,0.39135310084154423
MCC_Cell membrane,0.30503436688986313
MCC_Mitochondrion,0.49327954380500544
MCC_Endoplasmic reticulum,0.09405137752462876
MCC_Golgi apparatus,0.15987443086987965
