bce_loss,epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss_batch
,0,49,,0.2825174033641815,
,0,99,,0.24776481091976166,
,0,149,,0.15756694972515106,
,0,199,,0.2243352234363556,
,0,249,,0.22838635742664337,
,0,299,,0.46807757019996643,
,0,349,,0.3099662661552429,
,0,399,,0.21874001622200012,
,0,449,,0.2469101995229721,
,0,499,,0.797722339630127,
,0,549,,0.31813788414001465,
,0,599,,0.3131083548069,
0.19086779654026031,0,631,,,0.30112794041633606
,0,631,0.35651832818984985,,
,1,649,,0.2343151569366455,
,1,699,,0.2442794293165207,
,1,749,,0.13858886063098907,
,1,799,,0.3016509711742401,
,1,849,,0.5077530741691589,
,1,899,,0.269599974155426,
,1,949,,0.13562504947185516,
,1,999,,0.2455606609582901,
,1,1049,,0.5002812743186951,
,1,1099,,0.6523590683937073,
,1,1149,,0.2818121016025543,
,1,1199,,0.5003291964530945,
,1,1249,,0.22308285534381866,
0.1825643926858902,1,1263,,,0.2933923602104187
,1,1263,0.30494925379753113,,
,2,1299,,0.9701762795448303,
,2,1349,,0.21642975509166718,
,2,1399,,0.12023194134235382,
,2,1449,,0.28851595520973206,
,2,1499,,0.25389575958251953,
,2,1549,,0.1368509978055954,
,2,1599,,0.25809744000434875,
,2,1649,,0.580719530582428,
,2,1699,,0.2877247631549835,
,2,1749,,0.1408408284187317,
,2,1799,,0.23218487203121185,
,2,1849,,0.28132134675979614,
0.1795129030942917,2,1895,,,0.2923658490180969
,2,1895,0.2834513485431671,,
,3,1899,,0.1475488841533661,
,3,1949,,0.2578204274177551,
,3,1999,,0.2138366550207138,
,3,2049,,0.1536616086959839,
,3,2099,,0.3252496123313904,
,3,2149,,0.25451821088790894,
,3,2199,,0.18751861155033112,
,3,2249,,0.20631533861160278,
,3,2299,,0.20783169567584991,
,3,2349,,0.1657554656267166,
,3,2399,,0.25640925765037537,
,3,2449,,0.434818297624588,
,3,2499,,0.290996253490448,
0.1787291169166565,3,2527,,,0.2931549549102783
,3,2527,0.27039098739624023,,
,4,2549,,0.24696055054664612,
,4,2599,,0.14943978190422058,
,4,2649,,0.2098075896501541,
,4,2699,,0.15834785997867584,
,4,2749,,0.22828534245491028,
,4,2799,,0.16171136498451233,
,4,2849,,0.3561040759086609,
,4,2899,,0.23065796494483948,
,4,2949,,0.14518576860427856,
,4,2999,,0.1793724149465561,
,4,3049,,0.2890068590641022,
,4,3099,,0.24192163348197937,
,4,3149,,0.18627890944480896,
0.178031325340271,4,3159,,,0.29366302490234375
,4,3159,0.2611253559589386,,
,5,3199,,0.19275562465190887,
,5,3249,,0.329252690076828,
,5,3299,,0.28067389130592346,
,5,3349,,0.208543598651886,
,5,3399,,0.11190973222255707,
,5,3449,,0.2574021816253662,
,5,3499,,0.14337505400180817,
,5,3549,,0.2131291627883911,
,5,3599,,0.3369152545928955,
,5,3649,,0.17607378959655762,
,5,3699,,0.17167772352695465,
,5,3749,,0.21435785293579102,
0.1781294345855713,5,3791,,,0.2940574884414673
,5,3791,0.25458163022994995,,
,6,3799,,0.15291036665439606,
,6,3849,,0.1646767258644104,
,6,3899,,0.3855600655078888,
,6,3949,,0.2635025084018707,
,6,3999,,0.27121680974960327,
,6,4049,,0.18704482913017273,
,6,4099,,0.18634361028671265,
,6,4149,,0.2957821488380432,
,6,4199,,0.2732934057712555,
,6,4249,,0.14186452329158783,
,6,4299,,0.22385382652282715,
,6,4349,,0.3551778197288513,
,6,4399,,0.2574393153190613,
0.17928795516490936,6,4423,,,0.29561111330986023
,6,4423,0.24944916367530823,,
,7,4449,,0.1657457947731018,
,7,4499,,0.2592185437679291,
