Metric,Value
Subset Accuracy,0.3343040186371578
Jaccard,0.4761211415259173
MicroF1,0.5555822328931572
MacroF1,0.4259462331807122
MCC_Cytoplasm,0.28588749174943473
MCC_Nucleus,0.3807337421219618
MCC_Cell membrane,0.30639027739127184
MCC_Mitochondrion,0.49485484103912164
MCC_Endoplasmic reticulum,0.19313046474259865
MCC_Golgi apparatus,0.1747210458866065
