,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
0_1Layer,0.424072265625,0.495849609375,0.44482421875,0.658203125,0.57373046875,0.6591796875,0.69873046875,0.60302734375,0.51123046875,0.68408203125,0.7470703125
1_1Layer,0.47216796875,0.466552734375,0.44921875,0.63525390625,0.57470703125,0.64599609375,0.68408203125,0.62353515625,0.5595703125,0.5556640625,0.76220703125
2_1Layer,0.435302734375,0.4482421875,0.50732421875,0.61767578125,0.537109375,0.61474609375,0.7587890625,0.5830078125,0.51220703125,0.6494140625,0.77587890625
3_1Layer,0.466064453125,0.478759765625,0.52294921875,0.63232421875,0.5302734375,0.61083984375,0.8232421875,0.5400390625,0.55615234375,0.63916015625,0.818359375
4_1Layer,0.481689453125,0.46923828125,0.44970703125,0.65869140625,0.54345703125,0.6943359375,0.78125,0.6083984375,0.546875,0.638671875,0.77587890625
